srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,10.10.10.1,*,17,67,*,1400,*,*,545490,1595
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,10.10.10.1,17,*,67,1400,*,*,539676,1578
64:90:c1:1d:24:c4,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,6667,1300,*,*,20294690,94835
64:90:c1:1d:24:c4,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,5814,17
64:90:c1:1d:24:c4,ff:ff:ff:ff:ff:ff,0x0008,*,*,*,*,*,*,1300,*,*,480,8
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,10.10.10.1,1,*,*,1001,0,0,0,0
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,10.10.10.1,17,*,53,1001,*,*,353917,4173
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,*,*,1,*,*,1000,*,*,70,1
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,*,1,*,*,1000,*,*,70,1
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,*,*,17,123,*,1000,*,*,0,0
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,*,17,*,123,1000,*,*,0,0
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,*,*,*,*,17,53,*,1000,*,*,651538,4174
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,*,*,*,*,17,*,53,1000,*,*,73,1
*,64:90:c1:1d:24:c4,0x0806,*,*,*,*,*,*,1000,*,*,965580,16093
64:90:c1:1d:24:c4,*,0x0806,*,*,*,*,*,*,1000,*,*,965400,16090
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,m2.tuyaeu.com,6,*,8883,855,*,*,603533,7137
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,m2.tuyaeu.com,6,*,8883,855,*,*,571282,7070
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,m2.tuyaeu.com,6,*,8883,855,*,*,67154,295
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,a2.tuyaeu.com,6,*,443,855,*,*,265589,1743
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,m2.tuyaeu.com,6,*,8883,855,*,*,1154518,14190
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,m2.tuyaeu.com,6,*,8883,855,*,*,642136,6645
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,m2.tuyaeu.com,6,*,8883,855,*,*,345832,3711
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,m2.tuyaeu.com,6,*,8883,855,*,*,37738,374
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,m2.tuyaeu.com,6,*,8883,855,*,*,1988,22
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,m2.tuyaeu.com,6,*,8883,855,*,*,1868,20
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,a2.tuyaeu.com,6,*,443,855,*,*,440807,2919
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,awsde0.fds.api.xiaomi.com,6,*,443,855,*,*,6096326,10724
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,awsde0.fds.api.xiaomi.com,6,*,443,855,*,*,15141895,20857
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,awsde0.fds.api.xiaomi.com,6,*,443,855,*,*,25671249,30847
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,awsde0.fds.api.xiaomi.com,6,*,443,855,*,*,8919317,13367
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,a2.tuyaeu.com,6,*,443,855,*,*,60627,411
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,m2.tuyaeu.com,6,*,8883,855,*,*,86351,578
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,*,17,*,*,800,*,*,0,0
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,*,6,*,*,800,*,*,1318,18
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,m2.tuyaeu.com,*,6,8883,*,750,*,*,483642,5666
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,m2.tuyaeu.com,*,6,8883,*,750,*,*,476512,5634
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,m2.tuyaeu.com,*,6,8883,*,750,*,*,27904,219
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,a2.tuyaeu.com,*,6,443,*,750,*,*,506665,1619
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,m2.tuyaeu.com,*,6,8883,*,750,*,*,966456,11302
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,m2.tuyaeu.com,*,6,8883,*,750,*,*,473444,5307
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,m2.tuyaeu.com,*,6,8883,*,750,*,*,269739,2938
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,m2.tuyaeu.com,*,6,8883,*,750,*,*,35111,299
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,m2.tuyaeu.com,*,6,8883,*,750,*,*,6214,20
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,m2.tuyaeu.com,*,6,8883,*,750,*,*,6094,18
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,a2.tuyaeu.com,*,6,443,*,750,*,*,864769,2716
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,awsde0.fds.api.xiaomi.com,*,6,443,*,750,*,*,3259190,9410
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,awsde0.fds.api.xiaomi.com,*,6,443,*,750,*,*,4779640,17598
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,awsde0.fds.api.xiaomi.com,*,6,443,*,750,*,*,5459675,24559
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,awsde0.fds.api.xiaomi.com,*,6,443,*,750,*,*,3430334,11279
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,a2.tuyaeu.com,*,6,443,*,750,*,*,125029,386
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,m2.tuyaeu.com,*,6,8883,*,750,*,*,65344,447
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,*,*,17,*,*,700,*,*,0,0
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,*,*,6,*,*,700,*,*,201,2
64:90:c1:1d:24:c4,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,33735,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,45417,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,35468,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,47257,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,43983,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,37480,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,41558,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,53455,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,44444,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,55716,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,37836,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,52787,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,47794,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,57423,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,40473,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,53713,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,39256,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,38310,*,610,*,*,0,0
64:90:c1:1d:24:c4,*,0x0800,*,*,*,17,47021,*,610,*,*,0,0
